"id","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50"
200040629,"E","D","C","B","A","C","C","D","E","B","E","A","C","A","D","C","B","E","B","C","E","B","E","E","E","E","E","B","A","A","C","C","B","C","A","C","B","D","A","B","A","D","D","E","C","A","A","E","A","D"
210047876,"C","D","C","B","C","B","B","D","D","B","E","D","E","B","B","C","D","E","B","E","B","C","E","C","B","E","C","D","E","B","C","C","C","D","A","C","E","C","A","D","D","B","C","E","C","A","C","D","C","C"
210047897,"E","D","C","B","A","C","B","D","E","C","D","A","E","B","D","C","C","E","B","E","D","D","E","D","E","D","E","B","A","D","E","C","A","C","A","E","B","D","A","B","A","C","C","E","C","D","E","D","C","D"
210040939,"E","D","A","B","A","C","C","E","B","A","A","D","*","*","*","*","*","*","B","A","E","B","E","C","*","E","*","B","A","*","*","C","B","C","A","*","B","C","A","B","A","D","C","E","C","*","C","E","A","D"
200035827,"*","*","*","*","*","*","*","*","B","C","D","A","C","*","*","*","*","*","*","*","*","*","*","*","*","*","A","A","A","B","C","C","B","C","A","C","B","C","A","B","A","B","C","D","D","D","*","*","*","*"
200039332,"E","D","C","D","A","C","C","D","C","C","D","A","E","B","B","C","A","D","C","E","B","B","D","D","B","D","C","B","A","B","B","C","B","A","A","B","C","D","A","C","D","D","A","C","D","B","B","B","B","D"
200040360,"E","D","C","B","A","C","C","E","B","C","E","A","C","A","D","C","B","E","B","A","E","B","E","C","D","E","C","B","A","B","C","C","B","C","A","C","B","D","A","B","A","D","C","E","C","B","B","C","A","D"
210047865,"E","D","B","B","A","B","C","D","C","C","C","A","D","A","A","C","B","E","E","A","E","B","E","C","E","E","A","B","A","B","C","C","B","C","A","D","B","D","A","B","A","D","C","E","C","D","A","E","A","D"
210046146,"A","C","C","A","C","C","C","D","B","C","D","A","E","E","E","C","C","B","E","E","B","B","B","D","B","D","E","C","A","B","C","E","E","C","A","E","D","D","C","E","A","D","A","D","E","D","A","D","C","B"
210045972,"E","D","B","B","C","B","B","D","D","A","E","A","D","B","B","C","B","D","E","A","C","C","D","D","A","D","D","A","A","A","D","C","E","D","A","D","E","D","E","A","A","A","E","E","D","B","A","D","B","B"
200032766,"E","D","C","B","A","C","C","E","C","C","A","D","C","A","D","C","B","E","B","A","E","B","E","C","C","E","C","E","A","B","C","C","B","C","A","E","B","D","B","B","A","D","C","E","C","B","E","A","A","A"
210047900,"E","C","C","A","A","C","C","E","B","C","D","A","C","D","D","C","B","E","B","A","E","C","A","C","B","E","E","B","A","B","C","C","B","C","A","D","B","D","A","B","A","D","C","E","C","D","A","E","A","D"
210046686,"E","D","C","B","A","C","C","E","*","*","*","*","*","*","D","*","*","*","*","E","*","B","E","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
210047888,"E","D","*","B","A","C","C","E","B","C","*","A","C","A","D","C","B","E","B","E","*","B","A","*","*","E","D","B","A","*","C","C","B","C","A","B","B","D","A","*","A","*","C","E","C","D","A","A","C","D"
210047908,"C","C","A","B","A","D","C","D","D","B","D","A","A","D","D","C","C","E","B","A","E","B","E","C","B","E","C","B","A","A","C","C","B","C","A","E","B","D","A","B","A","D","C","E","C","C","C","C","C","A"
210047901,"*","D","C","A","A","*","B","D","D","B","*","A","C","A","*","C","*","*","B","A","*","*","E","*","*","*","*","*","*","*","*","*","*","*","A","*","*","*","A","*","*","A","C","*","C","*","*","*","*","*"
210043493,"E","D","B","A","B","D","D","D","C","C","E","D","E","B","E","B","D","C","C","D","A","D","C","C","A","D","A","B","C","A","D","C","C","C","E","D","B","D","D","D","B","C","B","A","E","*","*","*","*","*"
210047883,"E","D","C","B","A","C","C","E","C","C","C","C","C","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
190019730,"E","D","C","B","A","C","C","E","B","C","A","A","C","A","D","C","B","E","B","A","E","B","A","C","C","D","B","B","A","D","C","C","B","C","A","C","B","D","A","B","A","D","C","E","C","D","A","E","A","D"
210047928,"E","D","D","A","B","C","D","D","E","A","E","A","D","D","E","A","A","B","C","C","C","C","C","C","C","C","C","A","A","C","C","C","D","A","A","A","B","C","E","C","D","C","C","B","C","C","B","C","E","D"
200037988,"E","D","A","E","E","C","B","D","B","C","E","A","C","B","A","B","E","A","C","C","C","B","A","A","B","D","A","A","A","B","B","E","C","B","D","B","A","E","D","C","D","B","D","A","D","B","D","D","C","D"
210047887,"E","D","C","B","C","C","B","D","C","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
210047878,"D","D","A","B","E","B","E","D","D","C","D","A","D","E","D","C","A","E","B","E","E","B","E","C","C","E","E","B","A","D","A","C","B","C","A","C","B","D","A","B","A","D","C","E","C","D","A","D","C","E"
200027004,"B","D","B","A","A","A","B","B","B","C","E","C","C","A","D","B","B","E","E","D","A","D","A","C","D","B","E","E","A","D","E","A","A","C","A","C","B","D","D","C","C","B","E","D","C","B","A","C","C","D"
200034490,"B","B","A","B","E","E","C","D","B","C","D","A","A","E","B","C","A","D","B","A","A","C","C","D","E","B","D","A","A","B","*","C","E","E","A","B","C","C","D","E","A","C","B","A","B","D","D","E","C","B"
200039192,"A","D","C","A","C","C","B","B","C","C","B","A","E","A","D","E","C","B","E","E","B","D","D","D","D","D","E","B","A","D","D","C","E","B","A","E","B","C","C","B","A","E","C","B","B","B","A","A","C","C"
210046003,"B","D","C","A","E","B","D","D","E","C","D","A","C","A","D","C","A","A","B","C","E","A","A","A","B","C","E","E","B","B","D","C","C","C","A","E","B","C","*","B","A","E","B","E","D","A","D","B","D","D"
210046924,"E","D","C","B","E","C","C","D","D","C","D","A","B","A","A","D","C","E","B","B","B","B","B","C","D","D","E","A","A","D","*","C","D","E","A","C","B","C","D","A","B","A","A","C","D","B","B","B","B","D"
210047162,"D","D","C","A","B","C","C","D","B","A","E","A","D","B","A","B","B","A","C","D","B","C","D","E","A","C","E","B","C","E","C","E","E","D","A","D","B","D","A","B","B","B","E","C","D","B","A","B","B","D"
210047172,"C","D","C","A","C","C","C","D","D","B","D","D","D","A","B","C","B","B","D","C","E","E","A","D","A","C","E","B","C","B","A","D","C","E","D","A","A","E","D","A","A","E","C","C","B","B","E","C","C","D"
210047301,"E","D","C","B","A","B","C","D","E","C","D","A","C","A","E","B","B","D","A","C","B","B","B","B","B","B","D","A","A","A","D","C","E","A","A","A","B","D","E","C","C","D","B","C","D","C","C","A","D","E"
210047911,"A","D","C","B","B","C","B","D","B","B","E","A","E","A","A","B","B","B","C","E","B","C","A","A","A","D","A","A","A","B","E","C","E","B","A","E","C","B","E","A","A","A","C","A","A","B","E","B","B","D"
210047913,"B","D","A","B","B","C","A","D","B","A","D","A","E","A","D","C","B","A","D","C","B","D","B","D","C","E","E","B","A","B","C","C","C","D","D","B","D","C","A","E","E","D","A","A","C","B","B","A","A","D"
210047914,"A","D","C","A","E","A","B","D","E","C","E","A","C","E","D","E","E","D","A","C","D","C","A","D","B","C","D","E","E","B","D","E","A","A","A","A","B","E","C","A","E","E","E","D","B","A","C","C","C","E"
210047915,"A","D","C","B","E","C","B","D","D","C","E","A","D","A","D","B","C","E","B","E","D","D","A","A","C","E","E","A","A","E","D","C","D","A","A","E","B","C","A","A","A","B","B","E","D","D","C","C","C","C"
210047916,"E","D","C","A","A","C","C","D","B","C","D","A","A","A","D","B","B","D","C","A","D","B","A","C","B","B","E","B","A","B","E","E","B","A","A","D","C","C","A","A","A","E","D","D","D","B","B","B","C","C"
210047917,"E","C","C","A","B","D","C","E","C","C","D","B","E","A","E","E","C","A","C","E","B","D","A","*","C","A","E","C","*","B","*","C","D","E","A","A","B","C","A","*","A","C","E","D","A","B","C","C","A","E"
210047918,"C","D","C","D","B","C","B","B","D","A","E","A","D","C","B","A","E","B","B","E","A","C","A","A","B","A","B","B","A","A","D","C","C","C","A","C","B","D","B","A","A","D","C","B","B","B","E","D","B","D"
210047929,"A","D","C","B","B","C","B","D","D","C","E","D","E","B","A","C","B","B","C","C","D","C","D","A","E","C","E","A","A","A","D","C","D","C","A","E","B","C","D","D","A","B","D","D","B","B","E","E","C","B"
